number of points, dim, version, break interval, time
10000, 200, naive, 0,197.277054
10000, 200, naiveBreak, 1, 515.766846
10000, 200, naiveBreak, 2, 512.966858
10000, 200, naiveBreak, 3, 518.966919
10000, 200, naiveBreak, 4, 516.861816
10000, 200, naiveBreak, 5, 518.098267
10000, 200, naiveBreak, 6, 514.784546
10000, 200, naiveBreak, 7, 524.577332
10000, 200, naiveBreak, 8, 516.831665
10000, 200, naiveBreak, 9, 517.272522
10000, 200, naiveBreak, 10, 514.879272
10000, 200, naiveBreak, 11, 516.126038
10000, 200, naiveBreak, 12, 516.707642
10000, 200, naiveBreak, 13, 521.939270
10000, 200, naiveBreak, 14, 514.507874
10000, 200, naiveBreak, 15, 513.650696
10000, 200, naiveBreak, 16, 516.734192
10000, 200, naiveBreak, 17, 520.644226
10000, 200, naiveBreak, 18, 515.126404
10000, 200, naiveBreak, 19, 522.213745
10000, 200, naiveBreak, 20, 516.135925
10000, 200, naiveBreak, 21, 515.895203
10000, 200, naiveBreak, 22, 513.946777
10000, 200, naiveBreak, 23, 517.030518
10000, 200, naiveBreak, 24, 516.146851
10000, 200, naiveBreak, 25, 533.786438
10000, 200, naiveBreak, 26, 513.815308
10000, 200, naiveBreak, 27, 527.793518
10000, 200, naiveBreak, 28, 516.356567
10000, 200, naiveBreak, 29, 518.223267
10000, 200, naiveBreak, 30, 514.170166
10000, 200, naiveBreak, 31, 515.180908
10000, 200, naiveBreak, 32, 515.856567
10000, 200, naiveBreak, 33, 518.485901
10000, 200, naiveBreak, 34, 513.551331
10000, 200, naiveBreak, 35, 520.625488
10000, 200, naiveBreak, 36, 516.991211
10000, 200, naiveBreak, 37, 524.987061
10000, 200, naiveBreak, 38, 515.511536
10000, 200, naiveBreak, 39, 522.579102
10000, 200, naiveBreak, 40, 516.225342
10000, 200, naiveBreak, 41, 522.829773
10000, 200, naiveBreak, 42, 514.318481
10000, 200, naiveBreak, 43, 519.786377
10000, 200, naiveBreak, 44, 517.028564
10000, 200, naiveBreak, 45, 522.840820
10000, 200, naiveBreak, 46, 514.717896
10000, 200, naiveBreak, 47, 516.445740
10000, 200, naiveBreak, 48, 517.112183
10000, 200, naiveBreak, 49, 522.351257
10000, 200, naiveBreak, 50, 514.708679
10000, 200, naive, 0,210.953308
10000, 200, naiveBreak, 1, 518.456238
10000, 200, naiveBreak, 2, 512.719910
10000, 200, naiveBreak, 3, 530.491882
10000, 200, naiveBreak, 4, 515.514282
10000, 200, naiveBreak, 5, 523.905640
10000, 200, naiveBreak, 6, 512.741882
10000, 200, naiveBreak, 7, 513.172913
10000, 200, naiveBreak, 8, 515.581665
10000, 200, naiveBreak, 9, 517.669373
10000, 200, naiveBreak, 10, 512.765747
10000, 200, naiveBreak, 11, 514.248047
10000, 200, naiveBreak, 12, 515.187195
10000, 200, naiveBreak, 13, 514.607849
10000, 200, naiveBreak, 14, 512.875916
10000, 200, naiveBreak, 15, 511.558594
10000, 200, naiveBreak, 16, 515.282104
10000, 200, naiveBreak, 17, 528.403015
10000, 200, naiveBreak, 18, 512.895203
10000, 200, naiveBreak, 19, 520.934021
10000, 200, naiveBreak, 20, 515.899109
10000, 200, naiveBreak, 21, 531.914124
10000, 200, naiveBreak, 22, 512.880066
10000, 200, naiveBreak, 23, 515.120972
10000, 200, naiveBreak, 24, 515.245667
10000, 200, naiveBreak, 25, 519.860779
10000, 200, naiveBreak, 26, 512.926697
10000, 200, naiveBreak, 27, 520.008301
10000, 200, naiveBreak, 28, 515.223328
10000, 200, naiveBreak, 29, 514.938599
10000, 200, naiveBreak, 30, 512.868042
10000, 200, naiveBreak, 31, 512.854431
10000, 200, naiveBreak, 32, 515.205139
10000, 200, naiveBreak, 33, 515.371521
10000, 200, naiveBreak, 34, 513.086060
10000, 200, naiveBreak, 35, 521.002197
10000, 200, naiveBreak, 36, 515.798645
10000, 200, naiveBreak, 37, 514.996826
10000, 200, naiveBreak, 38, 513.614929
10000, 200, naiveBreak, 39, 514.872070
10000, 200, naiveBreak, 40, 515.887817
10000, 200, naiveBreak, 41, 520.722717
10000, 200, naiveBreak, 42, 513.476746
10000, 200, naiveBreak, 43, 512.467529
10000, 200, naiveBreak, 44, 515.855774
10000, 200, naiveBreak, 45, 514.662048
10000, 200, naiveBreak, 46, 513.527466
10000, 200, naiveBreak, 47, 525.325806
10000, 200, naiveBreak, 48, 515.934021
10000, 200, naiveBreak, 49, 532.670959
10000, 200, naiveBreak, 50, 513.601135
10000, 200, naive, 0,199.536102
10000, 200, naiveBreak, 1, 519.943420
10000, 200, naiveBreak, 2, 512.715942
10000, 200, naiveBreak, 3, 516.653137
10000, 200, naiveBreak, 4, 515.433044
10000, 200, naiveBreak, 5, 518.678284
10000, 200, naiveBreak, 6, 512.577271
10000, 200, naiveBreak, 7, 521.508606
10000, 200, naiveBreak, 8, 515.062683
10000, 200, naiveBreak, 9, 513.498901
10000, 200, naiveBreak, 10, 512.503174
10000, 200, naiveBreak, 11, 513.803711
10000, 200, naiveBreak, 12, 515.124390
10000, 200, naiveBreak, 13, 520.156921
10000, 200, naiveBreak, 14, 512.296021
10000, 200, naiveBreak, 15, 512.227356
10000, 200, naiveBreak, 16, 515.664795
10000, 200, naiveBreak, 17, 524.191162
10000, 200, naiveBreak, 18, 512.328613
10000, 200, naiveBreak, 19, 516.024597
10000, 200, naiveBreak, 20, 515.008789
10000, 200, naiveBreak, 21, 524.899292
10000, 200, naiveBreak, 22, 512.626770
10000, 200, naiveBreak, 23, 520.331238
10000, 200, naiveBreak, 24, 516.126099
10000, 200, naiveBreak, 25, 527.824341
10000, 200, naiveBreak, 26, 512.279175
10000, 200, naiveBreak, 27, 511.863739
10000, 200, naiveBreak, 28, 515.170471
10000, 200, naiveBreak, 29, 513.505737
10000, 200, naiveBreak, 30, 512.324524
10000, 200, naiveBreak, 31, 530.044373
10000, 200, naiveBreak, 32, 514.985596
10000, 200, naiveBreak, 33, 515.199402
10000, 200, naiveBreak, 34, 513.977356
10000, 200, naiveBreak, 35, 516.782043
10000, 200, naiveBreak, 36, 515.462341
10000, 200, naiveBreak, 37, 521.631226
10000, 200, naiveBreak, 38, 514.045166
10000, 200, naiveBreak, 39, 514.493591
10000, 200, naiveBreak, 40, 515.506104
10000, 200, naiveBreak, 41, 514.755554
10000, 200, naiveBreak, 42, 513.619019
10000, 200, naiveBreak, 43, 512.671814
10000, 200, naiveBreak, 44, 516.058472
10000, 200, naiveBreak, 45, 516.688232
10000, 200, naiveBreak, 46, 512.332947
10000, 200, naiveBreak, 47, 518.721008
10000, 200, naiveBreak, 48, 515.831421
10000, 200, naiveBreak, 49, 513.397522
10000, 200, naiveBreak, 50, 512.620422
