number of points, dim, chunkSize, time
2048, 2048, 8192, 56.485985
2, 32, 4096, 0.022016
2, 32, 8192, 0.010304
2, 64, 2048, 0.009184
2, 64, 4096, 0.008736
2, 64, 8192, 0.009024
2, 128, 1024, 0.011008
2, 128, 2048, 0.008960
2, 128, 4096, 0.008832
2, 128, 8192, 0.008576
2, 256, 512, 0.010432
2, 256, 1024, 0.009120
2, 256, 2048, 0.009344
2, 256, 4096, 0.009152
2, 256, 8192, 0.009312
2, 512, 256, 0.012576
2, 512, 512, 0.009280
2, 512, 1024, 0.008704
2, 512, 2048, 0.009344
2, 512, 4096, 0.008992
2, 512, 8192, 0.009248
2, 1024, 128, 0.010336
2, 1024, 256, 0.010336
2, 1024, 512, 0.010208
2, 1024, 1024, 0.009920
2, 1024, 2048, 0.010208
2, 1024, 4096, 0.010784
2, 1024, 8192, 0.009792
2, 2048, 64, 0.011200
2, 2048, 128, 0.010368
2, 2048, 256, 0.010944
2, 2048, 512, 0.010528
2, 2048, 1024, 0.010720
2, 2048, 2048, 0.010656
2, 2048, 4096, 0.011488
2, 2048, 8192, 0.010432
2, 4096, 32, 0.012640
2, 4096, 64, 0.012832
2, 4096, 128, 0.012384
2, 4096, 256, 0.012032
2, 4096, 512, 0.011968
2, 4096, 1024, 0.011840
2, 4096, 2048, 0.012032
2, 4096, 4096, 0.013216
2, 4096, 8192, 0.012224
2, 8192, 32, 0.015808
2, 8192, 64, 0.015520
2, 8192, 128, 0.016096
2, 8192, 256, 0.015904
2, 8192, 512, 0.016032
2, 8192, 1024, 0.015616
2, 8192, 2048, 0.031136
2, 8192, 4096, 0.015456
2, 8192, 8192, 0.016032
2, 16384, 32, 0.022560
2, 16384, 64, 0.022432
2, 16384, 128, 0.021792
2, 16384, 256, 0.022528
2, 16384, 512, 0.021952
2, 16384, 1024, 0.022336
2, 16384, 2048, 0.021952
2, 16384, 4096, 0.021952
2, 16384, 8192, 0.021728
2, 32768, 32, 0.035424
2, 32768, 64, 0.035296
2, 32768, 128, 0.035136
2, 32768, 256, 0.035424
2, 32768, 512, 0.034688
2, 32768, 1024, 0.035392
2, 32768, 2048, 0.035008
2, 32768, 4096, 0.034464
2, 32768, 8192, 0.035200
4, 32, 4096, 0.014048
4, 32, 8192, 0.017120
4, 64, 2048, 0.010560
4, 64, 4096, 0.012192
4, 64, 8192, 0.014368
4, 128, 1024, 0.010400
4, 128, 2048, 0.008768
4, 128, 4096, 0.008992
4, 128, 8192, 0.008736
4, 256, 512, 0.010912
4, 256, 1024, 0.009184
4, 256, 2048, 0.008736
4, 256, 4096, 0.008608
4, 256, 8192, 0.008960
4, 512, 256, 0.011616
4, 512, 512, 0.008768
4, 512, 1024, 0.008608
4, 512, 2048, 0.009120
4, 512, 4096, 0.008928
4, 512, 8192, 0.008864
4, 1024, 128, 0.010720
4, 1024, 256, 0.010400
4, 1024, 512, 0.010400
4, 1024, 1024, 0.010144
4, 1024, 2048, 0.009600
4, 1024, 4096, 0.010592
4, 1024, 8192, 0.010112
4, 2048, 64, 0.011168
4, 2048, 128, 0.010848
4, 2048, 256, 0.010496
4, 2048, 512, 0.010848
4, 2048, 1024, 0.010944
4, 2048, 2048, 0.010208
4, 2048, 4096, 0.011136
4, 2048, 8192, 0.011008
4, 4096, 32, 0.012320
4, 4096, 64, 0.012256
4, 4096, 128, 0.012608
4, 4096, 256, 0.012480
4, 4096, 512, 0.012384
4, 4096, 1024, 0.012736
4, 4096, 2048, 0.012384
4, 4096, 4096, 0.012608
4, 4096, 8192, 0.012256
4, 8192, 32, 0.016256
4, 8192, 64, 0.015680
4, 8192, 128, 0.015712
4, 8192, 256, 0.015616
4, 8192, 512, 0.016160
4, 8192, 1024, 0.015200
4, 8192, 2048, 0.015520
4, 8192, 4096, 0.015232
4, 8192, 8192, 0.015488
4, 16384, 32, 0.022784
4, 16384, 64, 0.022464
4, 16384, 128, 0.022880
4, 16384, 256, 0.022624
4, 16384, 512, 0.022464
4, 16384, 1024, 0.022528
4, 16384, 2048, 0.022336
4, 16384, 4096, 0.022240
4, 16384, 8192, 0.021920
4, 32768, 32, 0.035584
4, 32768, 64, 0.035488
4, 32768, 128, 0.035360
4, 32768, 256, 0.035616
4, 32768, 512, 0.035968
4, 32768, 1024, 0.035776
4, 32768, 2048, 0.035680
4, 32768, 4096, 0.035936
4, 32768, 8192, 0.035264
8, 32, 4096, 0.038592
8, 32, 8192, 0.034112
8, 64, 2048, 0.015808
8, 64, 4096, 0.015648
8, 64, 8192, 0.015456
8, 128, 1024, 0.012512
8, 128, 2048, 0.010528
8, 128, 4096, 0.010528
8, 128, 8192, 0.009856
8, 256, 512, 0.010080
8, 256, 1024, 0.008576
8, 256, 2048, 0.008800
8, 256, 4096, 0.008896
8, 256, 8192, 0.008928
8, 512, 256, 0.012000
8, 512, 512, 0.009120
8, 512, 1024, 0.008832
8, 512, 2048, 0.009120
8, 512, 4096, 0.008000
8, 512, 8192, 0.008864
8, 1024, 128, 0.009920
8, 1024, 256, 0.009984
8, 1024, 512, 0.009984
8, 1024, 1024, 0.010176
8, 1024, 2048, 0.010016
8, 1024, 4096, 0.010240
8, 1024, 8192, 0.010368
8, 2048, 64, 0.011616
8, 2048, 128, 0.011104
8, 2048, 256, 0.011232
8, 2048, 512, 0.011392
8, 2048, 1024, 0.010912
8, 2048, 2048, 0.010976
8, 2048, 4096, 0.010784
8, 2048, 8192, 0.011200
8, 4096, 32, 0.012736
8, 4096, 64, 0.012352
8, 4096, 128, 0.013088
8, 4096, 256, 0.012992
8, 4096, 512, 0.012224
8, 4096, 1024, 0.012736
8, 4096, 2048, 0.011840
8, 4096, 4096, 0.012640
8, 4096, 8192, 0.012352
8, 8192, 32, 0.015712
8, 8192, 64, 0.016288
8, 8192, 128, 0.016096
8, 8192, 256, 0.016288
8, 8192, 512, 0.016768
8, 8192, 1024, 0.015584
8, 8192, 2048, 0.015840
8, 8192, 4096, 0.016384
8, 8192, 8192, 0.016032
8, 16384, 32, 0.023104
8, 16384, 64, 0.023264
8, 16384, 128, 0.022784
8, 16384, 256, 0.021856
8, 16384, 512, 0.022560
8, 16384, 1024, 0.022368
8, 16384, 2048, 0.022656
8, 16384, 4096, 0.022624
8, 16384, 8192, 0.023552
8, 32768, 32, 0.137952
8, 32768, 64, 0.128608
8, 32768, 128, 0.129120
8, 32768, 256, 0.129280
8, 32768, 512, 0.128864
8, 32768, 1024, 0.129632
8, 32768, 2048, 0.129120
8, 32768, 4096, 0.129120
8, 32768, 8192, 0.129312
16, 32, 4096, 0.113984
16, 32, 8192, 0.113248
16, 64, 2048, 0.037440
16, 64, 4096, 0.037472
16, 64, 8192, 0.037344
16, 128, 1024, 0.017568
16, 128, 2048, 0.022880
16, 128, 4096, 0.016544
16, 128, 8192, 0.016288
16, 256, 512, 0.010368
16, 256, 1024, 0.009792
16, 256, 2048, 0.010272
16, 256, 4096, 0.010272
16, 256, 8192, 0.010624
16, 512, 256, 0.008992
16, 512, 512, 0.008800
16, 512, 1024, 0.009184
16, 512, 2048, 0.009472
16, 512, 4096, 0.009088
16, 512, 8192, 0.009248
16, 1024, 128, 0.009824
16, 1024, 256, 0.009728
16, 1024, 512, 0.010176
16, 1024, 1024, 0.010368
16, 1024, 2048, 0.010432
16, 1024, 4096, 0.009984
16, 1024, 8192, 0.010016
16, 2048, 64, 0.010976
16, 2048, 128, 0.010624
16, 2048, 256, 0.010464
16, 2048, 512, 0.011040
16, 2048, 1024, 0.010688
16, 2048, 2048, 0.010592
16, 2048, 4096, 0.010912
16, 2048, 8192, 0.010272
16, 4096, 32, 0.012384
16, 4096, 64, 0.012768
16, 4096, 128, 0.013600
16, 4096, 256, 0.012352
16, 4096, 512, 0.012672
16, 4096, 1024, 0.012800
16, 4096, 2048, 0.013248
16, 4096, 4096, 0.012320
16, 4096, 8192, 0.012448
16, 8192, 32, 0.016672
16, 8192, 64, 0.016640
16, 8192, 128, 0.016384
16, 8192, 256, 0.016768
16, 8192, 512, 0.020576
16, 8192, 1024, 0.016384
16, 8192, 2048, 0.016672
16, 8192, 4096, 0.017088
16, 8192, 8192, 0.016384
16, 16384, 32, 0.077024
16, 16384, 64, 0.074624
16, 16384, 128, 0.076416
16, 16384, 256, 0.074880
16, 16384, 512, 0.076992
16, 16384, 1024, 0.075168
16, 16384, 2048, 0.077056
16, 16384, 4096, 0.074848
16, 16384, 8192, 0.077024
16, 32768, 32, 0.136832
16, 32768, 64, 0.136288
16, 32768, 128, 0.136672
16, 32768, 256, 0.136640
16, 32768, 512, 0.136128
16, 32768, 1024, 0.136640
16, 32768, 2048, 0.136384
16, 32768, 4096, 0.136896
16, 32768, 8192, 0.136992
32, 32, 4096, 0.436192
32, 32, 8192, 0.435584
32, 64, 2048, 0.126752
32, 64, 4096, 0.126400
32, 64, 8192, 0.126784
32, 128, 1024, 0.039360
32, 128, 2048, 0.038400
32, 128, 4096, 0.038368
32, 128, 8192, 0.038336
32, 256, 512, 0.018144
32, 256, 1024, 0.016832
32, 256, 2048, 0.016256
32, 256, 4096, 0.016384
32, 256, 8192, 0.016736
32, 512, 256, 0.012224
32, 512, 512, 0.011584
32, 512, 1024, 0.011456
32, 512, 2048, 0.011808
32, 512, 4096, 0.011424
32, 512, 8192, 0.011552
32, 1024, 128, 0.012320
32, 1024, 256, 0.012512
32, 1024, 512, 0.012608
32, 1024, 1024, 0.012096
32, 1024, 2048, 0.011744
32, 1024, 4096, 0.011424
32, 1024, 8192, 0.012128
32, 2048, 64, 0.014176
32, 2048, 128, 0.014048
32, 2048, 256, 0.014208
32, 2048, 512, 0.014208
32, 2048, 1024, 0.013728
32, 2048, 2048, 0.014336
32, 2048, 4096, 0.014304
32, 2048, 8192, 0.013696
32, 4096, 32, 0.018944
32, 4096, 64, 0.018432
32, 4096, 128, 0.018720
32, 4096, 256, 0.018496
32, 4096, 512, 0.018016
32, 4096, 1024, 0.018560
32, 4096, 2048, 0.018368
32, 4096, 4096, 0.017856
32, 4096, 8192, 0.017920
32, 8192, 32, 0.137056
32, 8192, 64, 0.136576
32, 8192, 128, 0.136096
32, 8192, 256, 0.136672
32, 8192, 512, 0.136288
32, 8192, 1024, 0.136992
32, 8192, 2048, 0.136160
32, 8192, 4096, 0.137088
32, 8192, 8192, 0.136256
32, 16384, 32, 0.094368
32, 16384, 64, 0.095072
32, 16384, 128, 0.094752
32, 16384, 256, 0.094464
32, 16384, 512, 0.094848
32, 16384, 1024, 0.094400
32, 16384, 2048, 0.094656
32, 16384, 4096, 0.094304
32, 16384, 8192, 0.094784
32, 32768, 32, 0.347680
32, 32768, 64, 0.348480
32, 32768, 128, 0.348608
32, 32768, 256, 0.348160
32, 32768, 512, 0.348128
32, 32768, 1024, 0.348256
32, 32768, 2048, 0.348224
32, 32768, 4096, 0.347552
32, 32768, 8192, 0.348288
64, 32, 4096, 1.732352
64, 32, 8192, 1.732768
64, 64, 2048, 0.483136
64, 64, 4096, 0.484192
64, 64, 8192, 0.484288
64, 128, 1024, 0.128896
64, 128, 2048, 0.128640
64, 128, 4096, 0.128736
64, 128, 8192, 0.128512
64, 256, 512, 0.042400
64, 256, 1024, 0.040992
64, 256, 2048, 0.041376
64, 256, 4096, 0.040896
64, 256, 8192, 0.041152
64, 512, 256, 0.022624
64, 512, 512, 0.021248
64, 512, 1024, 0.021344
64, 512, 2048, 0.020800
64, 512, 4096, 0.020832
64, 512, 8192, 0.020640
64, 1024, 128, 0.022592
64, 1024, 256, 0.022528
64, 1024, 512, 0.021472
64, 1024, 1024, 0.022016
64, 1024, 2048, 0.022048
64, 1024, 4096, 0.021664
64, 1024, 8192, 0.021888
64, 2048, 64, 0.029504
64, 2048, 128, 0.029888
64, 2048, 256, 0.029536
64, 2048, 512, 0.028992
64, 2048, 1024, 0.028800
64, 2048, 2048, 0.029440
64, 2048, 4096, 0.028960
64, 2048, 8192, 0.031040
64, 4096, 32, 0.270720
64, 4096, 64, 0.267296
64, 4096, 128, 0.268640
64, 4096, 256, 0.267328
64, 4096, 512, 0.268960
64, 4096, 1024, 0.268096
64, 4096, 2048, 0.268608
64, 4096, 4096, 0.267168
64, 4096, 8192, 0.268896
64, 8192, 32, 0.265376
64, 8192, 64, 0.266592
64, 8192, 128, 0.266624
64, 8192, 256, 0.265120
64, 8192, 512, 0.267456
64, 8192, 1024, 0.264416
64, 8192, 2048, 0.272224
64, 8192, 4096, 0.266272
64, 8192, 8192, 0.265152
64, 16384, 32, 0.310336
64, 16384, 64, 0.310272
64, 16384, 128, 0.310496
64, 16384, 256, 0.311552
64, 16384, 512, 0.310368
64, 16384, 1024, 0.309760
64, 16384, 2048, 0.309504
64, 16384, 4096, 0.309760
64, 16384, 8192, 0.309504
64, 32768, 32, 1.174624
64, 32768, 64, 1.175712
64, 32768, 128, 1.175360
64, 32768, 256, 1.174336
64, 32768, 512, 1.175296
64, 32768, 1024, 1.176032
64, 32768, 2048, 1.175040
64, 32768, 4096, 1.175648
64, 32768, 8192, 1.174944
128, 32, 4096, 6.932832
128, 32, 8192, 6.931712
128, 64, 2048, 1.913440
128, 64, 4096, 1.914048
128, 64, 8192, 1.914368
128, 128, 1024, 0.488704
128, 128, 2048, 0.488096
128, 128, 4096, 0.488256
128, 128, 8192, 0.488352
128, 256, 512, 0.140768
128, 256, 1024, 0.139648
128, 256, 2048, 0.139648
128, 256, 4096, 0.140224
128, 256, 8192, 0.139776
128, 512, 256, 0.061984
128, 512, 512, 0.057728
128, 512, 1024, 0.059328
128, 512, 2048, 0.058240
128, 512, 4096, 0.058464
128, 512, 8192, 0.058784
128, 1024, 128, 0.056160
128, 1024, 256, 0.056192
128, 1024, 512, 0.056480
128, 1024, 1024, 0.056288
128, 1024, 2048, 0.056672
128, 1024, 4096, 0.056736
128, 1024, 8192, 0.056640
128, 2048, 64, 0.510816
128, 2048, 128, 0.509536
128, 2048, 256, 0.510784
128, 2048, 512, 0.509568
128, 2048, 1024, 0.509664
128, 2048, 2048, 0.509280
128, 2048, 4096, 0.511680
128, 2048, 8192, 0.509472
128, 4096, 32, 0.520096
128, 4096, 64, 0.520608
128, 4096, 128, 0.520448
128, 4096, 256, 0.519296
128, 4096, 512, 0.518912
128, 4096, 1024, 0.519840
128, 4096, 2048, 0.520032
128, 4096, 4096, 0.522080
128, 4096, 8192, 0.520832
128, 8192, 32, 0.840736
128, 8192, 64, 0.840608
128, 8192, 128, 0.837792
128, 8192, 256, 0.845216
128, 8192, 512, 0.842080
128, 8192, 1024, 0.846496
128, 8192, 2048, 0.841600
128, 8192, 4096, 0.845344
128, 8192, 8192, 0.839328
128, 16384, 32, 1.156224
128, 16384, 64, 1.155168
128, 16384, 128, 1.152896
128, 16384, 256, 1.150784
128, 16384, 512, 1.149792
128, 16384, 1024, 1.151584
128, 16384, 2048, 1.495200
128, 16384, 4096, 1.153312
128, 16384, 8192, 1.154016
128, 32768, 32, 4.394464
128, 32768, 64, 4.395232
128, 32768, 128, 4.394624
128, 32768, 256, 4.395648
128, 32768, 512, 4.398080
128, 32768, 1024, 4.395296
128, 32768, 2048, 4.395520
128, 32768, 4096, 4.396064
128, 32768, 8192, 4.395136
256, 32, 4096, 27.906496
256, 32, 8192, 28.096832
256, 64, 2048, 7.637248
256, 64, 4096, 7.634176
256, 64, 8192, 7.633216
256, 128, 1024, 1.922848
256, 128, 2048, 1.921280
256, 128, 4096, 1.920544
256, 128, 8192, 1.921344
256, 256, 512, 0.531200
256, 256, 1024, 0.529856
256, 256, 2048, 0.529248
256, 256, 4096, 0.529856
256, 256, 8192, 0.528544
256, 512, 256, 0.210976
256, 512, 512, 0.208704
256, 512, 1024, 0.207808
256, 512, 2048, 0.206240
256, 512, 4096, 0.205856
256, 512, 8192, 0.209248
256, 1024, 128, 1.023488
256, 1024, 256, 1.021152
256, 1024, 512, 1.022816
256, 1024, 1024, 1.021472
256, 1024, 2048, 1.021408
256, 1024, 4096, 1.022880
256, 1024, 8192, 1.021472
256, 2048, 64, 1.024800
256, 2048, 128, 1.006176
256, 2048, 256, 1.012544
256, 2048, 512, 1.001632
256, 2048, 1024, 1.016320
256, 2048, 2048, 1.124288
256, 2048, 4096, 1.019456
256, 2048, 8192, 1.025120
256, 4096, 32, 1.579424
256, 4096, 64, 1.580096
256, 4096, 128, 1.579136
256, 4096, 256, 1.580576
256, 4096, 512, 1.578624
256, 4096, 1024, 1.578688
256, 4096, 2048, 1.579072
256, 4096, 4096, 1.580000
256, 4096, 8192, 1.580512
256, 8192, 32, 3.334528
256, 8192, 64, 3.322624
256, 8192, 128, 3.319744
256, 8192, 256, 3.325120
256, 8192, 512, 3.320064
256, 8192, 1024, 3.322720
256, 8192, 2048, 3.334912
256, 8192, 4096, 3.333376
256, 8192, 8192, 3.320320
256, 16384, 32, 4.417056
256, 16384, 64, 4.428224
256, 16384, 128, 4.790848
256, 16384, 256, 4.425056
256, 16384, 512, 4.427936
256, 16384, 1024, 4.413024
256, 16384, 2048, 4.419744
256, 16384, 4096, 4.420608
256, 16384, 8192, 4.420832
256, 32768, 32, 17.132832
256, 32768, 64, 18.050177
256, 32768, 128, 17.130432
256, 32768, 256, 17.237024
256, 32768, 512, 17.495424
256, 32768, 1024, 18.303936
256, 32768, 2048, 17.134880
256, 32768, 4096, 17.507040
256, 32768, 8192, 17.129152
512, 32, 4096, 111.232323
512, 32, 8192, 111.553185
512, 64, 2048, 30.885281
512, 64, 4096, 30.736641
512, 64, 8192, 30.847263
512, 128, 1024, 7.653184
512, 128, 2048, 7.648416
512, 128, 4096, 7.648992
512, 128, 8192, 7.649536
512, 256, 512, 2.189696
512, 256, 1024, 2.086464
512, 256, 2048, 2.087136
512, 256, 4096, 2.081888
512, 256, 8192, 2.082144
512, 512, 256, 2.354944
512, 512, 512, 2.343104
512, 512, 1024, 2.338400
512, 512, 2048, 2.342720
512, 512, 4096, 2.342688
512, 512, 8192, 2.332736
512, 1024, 128, 2.814784
512, 1024, 256, 2.663680
512, 1024, 512, 2.635744
512, 1024, 1024, 2.781312
512, 1024, 2048, 2.721472
512, 1024, 4096, 2.647840
512, 1024, 8192, 2.675328
512, 2048, 64, 3.157312
512, 2048, 128, 3.190784
512, 2048, 256, 3.195680
512, 2048, 512, 3.232896
512, 2048, 1024, 3.240416
512, 2048, 2048, 3.218720
512, 2048, 4096, 3.188960
512, 2048, 8192, 3.341312
512, 4096, 32, 6.316000
512, 4096, 64, 6.314144
512, 4096, 128, 6.313632
512, 4096, 256, 6.312352
512, 4096, 512, 6.311456
512, 4096, 1024, 6.314592
512, 4096, 2048, 6.312928
512, 4096, 4096, 6.313440
512, 4096, 8192, 6.314688
512, 8192, 32, 13.846592
512, 8192, 64, 13.501440
512, 8192, 128, 13.486528
512, 8192, 256, 13.506496
512, 8192, 512, 13.486560
512, 8192, 1024, 13.615968
512, 8192, 2048, 13.510368
512, 8192, 4096, 13.494048
512, 8192, 8192, 13.492480
512, 16384, 32, 17.553087
512, 16384, 64, 17.913216
512, 16384, 128, 17.561440
512, 16384, 256, 17.545216
512, 16384, 512, 17.558271
512, 16384, 1024, 17.542080
512, 16384, 2048, 17.568928
512, 16384, 4096, 17.925983
512, 16384, 8192, 17.574593
512, 32768, 32, 69.006592
512, 32768, 64, 69.128448
512, 32768, 128, 69.058815
512, 32768, 256, 69.051132
512, 32768, 512, 69.112770
512, 32768, 1024, 68.989410
512, 32768, 2048, 68.968285
512, 32768, 4096, 69.037155
512, 32768, 8192, 69.075684
1024, 32, 4096, 444.704865
1024, 32, 8192, 445.067505
1024, 64, 2048, 122.498116
1024, 64, 4096, 122.482880
1024, 64, 8192, 122.493538
1024, 128, 1024, 30.668545
1024, 128, 2048, 30.767233
1024, 128, 4096, 30.877504
1024, 128, 8192, 30.549696
1024, 256, 512, 8.568160
1024, 256, 1024, 8.561216
1024, 256, 2048, 8.672768
1024, 256, 4096, 8.791072
1024, 256, 8192, 8.894720
1024, 512, 256, 10.646816
1024, 512, 512, 10.640672
1024, 512, 1024, 10.633056
1024, 512, 2048, 10.633280
1024, 512, 4096, 10.641344
1024, 512, 8192, 10.640384
1024, 1024, 128, 9.975904
1024, 1024, 256, 9.872160
1024, 1024, 512, 9.926944
1024, 1024, 1024, 9.899328
1024, 1024, 2048, 10.277568
1024, 1024, 4096, 9.852928
1024, 1024, 8192, 10.008672
1024, 2048, 64, 13.638304
1024, 2048, 128, 13.167872
1024, 2048, 256, 13.044320
1024, 2048, 512, 13.035040
1024, 2048, 1024, 13.144672
1024, 2048, 2048, 13.990720
1024, 2048, 4096, 13.549312
1024, 2048, 8192, 13.078464
1024, 4096, 32, 25.838367
1024, 4096, 64, 25.973440
1024, 4096, 128, 25.829472
1024, 4096, 256, 25.836224
1024, 4096, 512, 25.972832
1024, 4096, 1024, 25.838848
1024, 4096, 2048, 25.828768
1024, 4096, 4096, 25.975296
1024, 4096, 8192, 25.835039
1024, 8192, 32, 54.628319
1024, 8192, 64, 55.548161
1024, 8192, 128, 54.638687
1024, 8192, 256, 55.626240
1024, 8192, 512, 54.628674
1024, 8192, 1024, 55.612320
1024, 8192, 2048, 54.562977
1024, 8192, 4096, 55.676575
1024, 8192, 8192, 54.566559
1024, 16384, 32, 78.681053
1024, 16384, 64, 78.818817
1024, 16384, 128, 78.886177
1024, 16384, 256, 78.846237
1024, 16384, 512, 79.629951
1024, 16384, 1024, 78.940193
1024, 16384, 2048, 78.721886
1024, 16384, 4096, 78.589500
1024, 16384, 8192, 78.776512
2048, 32, 4096, 1779.036499
2048, 32, 8192, 1779.380127
2048, 64, 2048, 488.692841
2048, 64, 4096, 488.701477
2048, 64, 8192, 488.691528
2048, 128, 1024, 97.635971
2048, 128, 2048, 97.662498
2048, 128, 4096, 97.654686
2048, 128, 8192, 97.652061
2048, 256, 512, 24.830784
2048, 256, 1024, 24.730177
2048, 256, 2048, 24.487392
2048, 256, 4096, 24.538273
2048, 256, 8192, 24.501856
2048, 512, 256, 48.935650
2048, 512, 512, 47.448128
2048, 512, 1024, 48.441311
2048, 512, 2048, 47.884514
2048, 512, 4096, 48.466721
2048, 512, 8192, 48.672543
2048, 1024, 128, 43.636768
2048, 1024, 256, 41.985249
2048, 1024, 512, 42.915710
2048, 1024, 1024, 41.690529
2048, 1024, 2048, 43.555489
2048, 1024, 4096, 42.165440
2048, 1024, 8192, 42.405441
2048, 2048, 64, 54.580063
2048, 2048, 128, 55.195904
2048, 2048, 256, 54.375263
2048, 2048, 512, 55.571262
2048, 2048, 1024, 54.535103
2048, 2048, 2048, 55.494431
2048, 2048, 4096, 54.798752
2048, 2048, 8192, 55.526878
